Contig	COG	Name	Start	End
PROKKA_06426	COG0688	Phosphatidylserine decarboxylase	51	221
PROKKA_06427	COG0628	Predicted PurR-regulated permease PerM	26	366
PROKKA_06428	COG0196	FAD synthase	5	115
PROKKA_06429	COG0499	S-adenosylhomocysteine hydrolase	5	461
PROKKA_06431	COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	9	235
PROKKA_06435	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	5	177
PROKKA_06440	COG2135	Putative SOS response-associated peptidase YedK	74	268
PROKKA_06441	COG0389	Nucleotidyltransferase/DNA polymerase involved in DNA repair	16	375
PROKKA_06442	COG1974	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)	168	287
PROKKA_06442	COG1974	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)	14	110
PROKKA_06464	COG0270	Site-specific DNA-cytosine methylase	153	201
PROKKA_06474	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	1	136
PROKKA_06475	COG1404	Serine protease, subtilisin family	209	499
PROKKA_06489	COG4974	Site-specific recombinase XerD	224	387
PROKKA_06497	COG1192	Cellulose biosynthesis protein BcsQ	3	126
PROKKA_06498	COG1192	Cellulose biosynthesis protein BcsQ	1	97
PROKKA_06508	COG2263	Predicted RNA methylase	68	160
PROKKA_06517	COG2431	Uncharacterized membrane protein YbjE, DUF340 family	7	58
PROKKA_06519	COG1734	RNA polymerase-binding transcription factor DksA	9	125
PROKKA_06520	COG4775	Outer membrane protein assembly factor BamA	129	274
PROKKA_06522	COG4219	Signal transducer regulating beta-lactamase production, contains  metallopeptidase domain	158	212
PROKKA_06523	COG3682	Predicted transcriptional regulator	8	116
PROKKA_06529	COG3391	DNA-binding beta-propeller fold protein YncE	105	338
PROKKA_06530	COG1629	Outer membrane receptor proteins, mostly Fe transport	63	666
PROKKA_06531	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	95	367
PROKKA_06532	COG0609	ABC-type Fe3+-siderophore transport system, permease component	1	311
PROKKA_06533	COG1120	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component	1	212
PROKKA_06534	COG5423	Predicted metal-binding protein	43	169
PROKKA_06539	COG4973	Site-specific recombinase XerC	193	394
PROKKA_06540	COG4974	Site-specific recombinase XerD	160	414
PROKKA_06541	COG4974	Site-specific recombinase XerD	3	42
PROKKA_03030	COG1873	Sporulation protein YlmC, PRC-barrel domain family	1	73
PROKKA_03031	COG1368	Phosphoglycerol transferase MdoB or a related enzyme of AlkP superfamily	126	507
PROKKA_03032	COG0052	Ribosomal protein S2	1	230
PROKKA_03034	COG0264	Translation elongation factor EF-Ts	1	288
PROKKA_03035	COG0584	Glycerophosphoryl diester phosphodiesterase	374	602
PROKKA_03036	COG4799	Acetyl-CoA carboxylase, carboxyltransferase component	56	374
PROKKA_03037	COG4770	Acetyl/propionyl-CoA carboxylase, alpha subunit	63	122
PROKKA_03038	COG5016	Pyruvate/oxaloacetate carboxyltransferase	1	452
PROKKA_03040	COG1561	Uncharacterized conserved protein YicC, UPF0701 family	1	136
PROKKA_03041	COG1561	Uncharacterized conserved protein YicC, UPF0701 family	1	146
PROKKA_03042	COG2052	Regulator of extracellular matrix RemA, YlzA/DUF370 family	1	74
PROKKA_03043	COG0194	Guanylate kinase	7	178
PROKKA_03044	COG1198	Primosomal protein N' (replication factor Y) - superfamily II helicase	2	106
PROKKA_03045	COG1198	Primosomal protein N' (replication factor Y) - superfamily II helicase	7	618
PROKKA_03046	COG0242	Peptide deformylase	1	155
PROKKA_03047	COG0223	Methionyl-tRNA formyltransferase	1	176
PROKKA_03048	COG0223	Methionyl-tRNA formyltransferase	1	102
PROKKA_03049	COG0144	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	92	438
PROKKA_03050	COG0820	Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37	4	347
PROKKA_03051	COG0631	Serine/threonine protein phosphatase PrpC	1	242
PROKKA_03052	COG0515	Serine/threonine protein kinase	13	276
PROKKA_03053	COG1162	Putative ribosome biogenesis GTPase RsgA	1	290
PROKKA_03054	COG1564	Thiamine pyrophosphokinase	1	208
PROKKA_03057	COG0272	NAD-dependent DNA ligase	1	658
PROKKA_03058	COG3854	Stage III sporulation protein SpoIIIAA	11	291
PROKKA_03066	COG1302	Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family	5	120
PROKKA_03067	COG0781	Transcription termination factor NusB	3	141
PROKKA_03068	COG0533	tRNA A37 threonylcarbamoyltransferase TsaD	9	240
PROKKA_03069	COG1570	Exonuclease VII, large subunit	1	401
PROKKA_03070	COG1722	Exonuclease VII small subunit	6	76
PROKKA_03071	COG0142	Geranylgeranyl pyrophosphate synthase	34	251
PROKKA_03072	COG1963	Acid phosphatase family membrane protein YuiD	1	135
PROKKA_03074	COG1189	Predicted rRNA methylase YqxC, contains S4 and FtsJ domains	2	243
PROKKA_03075	COG0061	NAD kinase	1	276
PROKKA_03076	COG1438	Arginine repressor	9	158
PROKKA_03077	COG0497	DNA repair ATPase RecN	1	554
PROKKA_03078	COG0162	Tyrosyl-tRNA synthetase	5	377
PROKKA_03079	COG2190	Phosphotransferase system IIA component	36	178
PROKKA_03080	COG0527	Aspartokinase	4	155
PROKKA_03081	COG2843	Poly-gamma-glutamate biosynthesis protein CapA/YwtB (capsule formation), metallophosphatase superfamily	87	339
PROKKA_03082	COG0289	Dihydrodipicolinate reductase	1	249
PROKKA_03083	COG0329	Dihydrodipicolinate synthase/N-acetylneuraminate lyase	6	274
PROKKA_03084	COG0136	Aspartate-semialdehyde dehydrogenase	17	72
PROKKA_03085	COG0136	Aspartate-semialdehyde dehydrogenase	5	274
PROKKA_03086	COG0809	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)	1	341
PROKKA_03087	COG0343	Queuine/archaeosine tRNA-ribosyltransferase	16	369
PROKKA_03088	COG1862	Preprotein translocase subunit YajC	28	92
PROKKA_03091	COG1066	Predicted ATP-dependent serine protease	1	464
PROKKA_03092	COG4974	Site-specific recombinase XerD	23	329
PROKKA_03093	COG0860	N-acetylmuramoyl-L-alanine amidase	54	260
PROKKA_03094	COG1193	dsDNA-specific endonuclease/ATPase MutS2	5	803
PROKKA_03095	COG1381	Recombinational DNA repair protein (RecF pathway)	8	186
PROKKA_03097	COG1159	GTPase Era, involved in 16S rRNA processing	15	306
PROKKA_03098	COG0319	ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme	23	157
PROKKA_03099	COG1702	Phosphate starvation-inducible protein PhoH, predicted ATPase	1	305
PROKKA_03100	COG1695	DNA-binding transcriptional regulator, PadR family	10	97
PROKKA_03104	COG1975	Xanthine and CO dehydrogenase maturation factor, XdhC/CoxF family	17	236
PROKKA_03106	COG0520	Selenocysteine lyase/Cysteine desulfurase	1	363
PROKKA_03107	COG0425	TusA-related sulfurtransferase	5	71
PROKKA_03108	COG0709	Selenophosphate synthase	12	342
PROKKA_03110	COG1529	CO or xanthine dehydrogenase, Mo-binding subunit	6	760
PROKKA_03111	COG2080	Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family	1	142
PROKKA_03112	COG1319	CO or xanthine dehydrogenase, FAD-binding subunit	2	261
PROKKA_03113	COG2068	CTP:molybdopterin cytidylyltransferase MocA	12	225
PROKKA_03114	COG2233	Xanthine/uracil permease	16	459
PROKKA_03115	COG1091	dTDP-4-dehydrorhamnose reductase	17	226
PROKKA_03117	COG1296	Predicted branched-chain amino acid permease (azaleucine resistance)	18	255
PROKKA_03119	COG0610	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ...	48	484
PROKKA_03120	COG0610	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ...	29	524
PROKKA_03122	COG0732	Restriction endonuclease S subunit	16	379
PROKKA_03122	COG0732	Restriction endonuclease S subunit	10	195
PROKKA_03123	COG3943	Uncharacterized conserved protein	17	343
PROKKA_03124	COG0286	Type I restriction-modification system, DNA methylase subunit	7	520
PROKKA_03128	COG3598	RecA-family ATPase	59	324
PROKKA_03130	COG0582	Integrase	59	357
PROKKA_03132	COG0519	GMP synthase, PP-ATPase domain/subunit	43	364
PROKKA_03133	COG0518	GMP synthase - Glutamine amidotransferase domain	3	107
PROKKA_03134	COG4832	Uncharacterized protein	1	208
PROKKA_03135	COG2315	Predicted DNA-binding protein with ‘double-wing’ structural motif, MmcQ/YjbR family	1	43
PROKKA_03136	COG0205	6-phosphofructokinase	5	309
PROKKA_03137	COG0587	DNA polymerase III, alpha subunit	8	1138
PROKKA_03138	COG1481	DNA-binding transcriptional regulator WhiA, involved in cell division	1	299
PROKKA_03139	COG1660	RNase adaptor protein for sRNA GlmZ degradation, contains a P-loop ATPase domain	1	286
PROKKA_03140	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase	13	298
PROKKA_03141	COG1493	Serine kinase of the HPr protein, regulates carbohydrate metabolism	6	304
PROKKA_03142	COG1283	Na+/phosphate symporter	20	538
PROKKA_03142	COG1283	Na+/phosphate symporter	143	268
PROKKA_03143	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	1	224
PROKKA_03144	COG0642	Signal transduction histidine kinase	216	446
PROKKA_03148	COG2323	Uncharacterized membrane protein YcaP, DUF421 family	7	191
PROKKA_03150	COG1327	Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains	1	153
PROKKA_03151	COG0342	Preprotein translocase subunit SecD	117	445
PROKKA_03152	COG1167	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain	1	261
PROKKA_03154	COG1219	ATP-dependent protease Clp, ATPase subunit	16	422
PROKKA_03155	COG0740	ATP-dependent protease ClpP, protease subunit	1	198
PROKKA_03156	COG0544	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)	4	422
PROKKA_03157	COG1768	Predicted phosphohydrolase	2	180
PROKKA_03158	COG1768	Predicted phosphohydrolase	1	37
PROKKA_03159	COG0498	Threonine synthase	1	450
PROKKA_03160	COG0792	Predicted endonuclease distantly related to archaeal Holliday junction resolvase	17	120
PROKKA_03161	COG0164	Ribonuclease HII	28	203
PROKKA_03162	COG1161	Ribosome biogenesis GTPase A	14	299
PROKKA_03163	COG0681	Signal peptidase I	34	146
PROKKA_03164	COG0335	Ribosomal protein L19	12	95
PROKKA_03165	COG5011	Uncharacterized conserved protein, DUF2344 family	4	212
PROKKA_03166	COG1032	Radical SAM superfamily enzyme YgiQ, UPF0313 family	6	467
PROKKA_03167	COG1994	Zn-dependent protease (includes SpoIVFB)	16	152
PROKKA_03168	COG0739	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	46	168
PROKKA_03169	COG0855	Polyphosphate kinase	34	450
PROKKA_03170	COG0855	Polyphosphate kinase	2	216
PROKKA_03171	COG1555	DNA uptake protein ComE and related DNA-binding proteins	30	111
PROKKA_03173	COG0564	Pseudouridylate synthase, 23S rRNA- or tRNA-specific	3	296
PROKKA_03174	COG0597	Lipoprotein signal peptidase	16	149
PROKKA_03175	COG0060	Isoleucyl-tRNA synthetase	8	930
PROKKA_03178	COG2302	RNA-binding protein YlmH, contains S4-like domain	22	269
PROKKA_03179	COG1799	FtsZ-interacting cell division protein YlmF	1	142
PROKKA_03181	COG0324	tRNA A37 N6-isopentenylltransferase MiaA	25	312
PROKKA_03182	COG0323	DNA mismatch repair ATPase MutL	1	330
PROKKA_03182	COG0323	DNA mismatch repair ATPase MutL	527	712
PROKKA_03183	COG0249	DNA mismatch repair ATPase MutS	1	863
PROKKA_03185	COG0621	tRNA A37 methylthiotransferase MiaB	30	461
PROKKA_03186	COG0735	Fe2+ or Zn2+ uptake regulation protein	1	125
PROKKA_03187	COG2256	Replication-associated recombination protein RarA (DNA-dependent ATPase)	1	139
PROKKA_03188	COG2256	Replication-associated recombination protein RarA (DNA-dependent ATPase)	2	209
PROKKA_03189	COG0177	Endonuclease III	15	217
PROKKA_03190	COG2261	Uncharacterized membrane protein YeaQ/YmgE, transglycosylase-associated protein family	32	108
PROKKA_03194	COG1484	DNA replication protein DnaC	156	306
PROKKA_03195	COG1235	Phosphoribosyl 1,2-cyclic phosphodiesterase	18	241
PROKKA_03196	COG0766	UDP-N-acetylglucosamine enolpyruvyl transferase	13	429
PROKKA_03197	COG3855	Fructose-1,6-bisphosphatase	7	656
PROKKA_03198	COG1313	Uncharacterized Fe-S protein PflX, radical SAM superfamily	9	286
PROKKA_03199	COG0524	Sugar or nucleoside kinase, ribokinase family	16	340
PROKKA_03200	COG1101	ABC-type uncharacterized transport system, ATPase component	1	263
PROKKA_03201	COG4120	ABC-type uncharacterized transport system, permease component	1	82
PROKKA_03202	COG4120	ABC-type uncharacterized transport system, permease component	13	182
PROKKA_03203	COG2984	ABC-type uncharacterized transport system, periplasmic component	51	336
PROKKA_03205	COG1686	D-alanyl-D-alanine carboxypeptidase	32	268
PROKKA_03209	COG2755	Lysophospholipase L1 or related esterase	12	207
PROKKA_03213	COG1609	DNA-binding transcriptional regulator, LacI/PurR family	9	262
PROKKA_03214	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component	65	402
PROKKA_03215	COG1175	ABC-type sugar transport system, permease component	46	280
PROKKA_03216	COG0395	ABC-type glycerol-3-phosphate transport system, permease component	5	280
PROKKA_03217	COG2152	Predicted glycosyl hydrolase, GH43/DUF377 family	26	124
PROKKA_03218	COG2152	Predicted glycosyl hydrolase, GH43/DUF377 family	1	167
PROKKA_03219	COG2942	Mannose or cellobiose epimerase, N-acyl-D-glucosamine 2-epimerase family	12	387
PROKKA_03220	COG2152	Predicted glycosyl hydrolase, GH43/DUF377 family	41	362
PROKKA_03222	COG3345	Alpha-galactosidase	26	704
PROKKA_03223	COG1109	Phosphomannomutase	38	547
PROKKA_03224	COG1482	Mannose-6-phosphate isomerase, class I	1	189
PROKKA_03228	COG1484	DNA replication protein DnaC	132	257
PROKKA_03233	COG3655	DNA-binding transcriptional regulator, XRE family	3	73
PROKKA_03236	COG1396	Transcriptional regulator, contains XRE-family HTH domain	6	111
PROKKA_03238	COG1349	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family	60	99
PROKKA_03239	COG1476	DNA-binding transcriptional regulator, XRE-family HTH domain	1	65
PROKKA_03241	COG0507	ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I	69	228
PROKKA_03242	COG0358	DNA primase (bacterial type)	22	89
PROKKA_03243	COG5545	Predicted P-loop ATPase and inactivated derivatives	94	357
PROKKA_03250	COG1521	Pantothenate kinase type III	1	255
PROKKA_03253	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	248	346
PROKKA_03254	COG2211	Na+/melibiose symporter or related transporter	9	459
PROKKA_03256	COG3250	Beta-galactosidase/beta-glucuronidase	2	320
PROKKA_03260	COG2972	Sensor histidine kinase YesM	124	397
PROKKA_03261	COG3279	DNA-binding response regulator, LytR/AlgR family	1	227
PROKKA_03269	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	1	164
PROKKA_03271	COG0534	Na+-driven multidrug efflux pump	1	398
PROKKA_03271	COG0534	Na+-driven multidrug efflux pump	183	345
PROKKA_03272	COG1053	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	1	99
PROKKA_03273	COG0583	DNA-binding transcriptional regulator, LysR family	1	298
PROKKA_03275	COG1966	Carbon starvation protein CstA	1	500
PROKKA_03277	COG0583	DNA-binding transcriptional regulator, LysR family	1	152
PROKKA_03279	COG0406	Broad specificity phosphatase PhoE	1	179
PROKKA_03280	COG0534	Na+-driven multidrug efflux pump	1	401
PROKKA_03281	COG4913	Uncharacterized protein YPO0396	446	718
PROKKA_03282	COG3950	Predicted ATP-binding protein involved in virulence	2	54
PROKKA_03288	COG1254	Acylphosphatase	21	106
PROKKA_03289	COG1227	Inorganic pyrophosphatase/exopolyphosphatase	137	375
PROKKA_03290	COG3448	CBS-domain-containing membrane protein	28	78
PROKKA_03291	COG0534	Na+-driven multidrug efflux pump	1	448
PROKKA_03293	COG0008	Glutamyl- or glutaminyl-tRNA synthetase	5	273
PROKKA_03294	COG1486	Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase	5	189
PROKKA_03295	COG1486	Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase	1	229
PROKKA_03296	COG1263	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific	51	429
PROKKA_03297	COG3711	Transcriptional antiterminator	1	271
PROKKA_03299	COG2768	Uncharacterized Fe-S center protein	3	374
PROKKA_03302	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family	40	552
PROKKA_03303	COG4716	Myosin-crossreactive antigen  (function unknown)	1	593
PROKKA_03305	COG0613	Predicted metal-dependent phosphoesterase TrpH, contains PHP domain	1	255
PROKKA_03306	COG1048	Aconitase A	71	761
PROKKA_03307	COG0534	Na+-driven multidrug efflux pump	1	162
PROKKA_03308	COG0534	Na+-driven multidrug efflux pump	6	275
PROKKA_03308	COG0534	Na+-driven multidrug efflux pump	11	216
PROKKA_03309	COG1126	ABC-type polar amino acid transport system, ATPase component	2	258
PROKKA_03310	COG0765	ABC-type amino acid transport system, permease component	36	216
PROKKA_03311	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	50	273
PROKKA_03313	COG1502	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase or related enzyme	149	465
PROKKA_03314	COG1307	Fatty acid-binding protein DegV (function unknown)	1	165
PROKKA_03315	COG1307	Fatty acid-binding protein DegV (function unknown)	1	83
PROKKA_03318	COG0691	tmRNA-binding protein	8	156
PROKKA_03319	COG0353	Recombinational DNA repair protein RecR	7	199
PROKKA_03320	COG0718	Conserved DNA-binding protein YbaB (function unknown)	13	112
PROKKA_03321	COG2812	DNA polymerase III, gamma/tau subunits	1	367
PROKKA_03322	COG0280	Phosphotransacetylase	3	96
PROKKA_03323	COG0280	Phosphotransacetylase	8	245
PROKKA_03324	COG1573	Uracil-DNA glycosylase	2	177
PROKKA_03326	COG1199	Rad3-related DNA helicase	183	808
PROKKA_03327	COG2109	ATP:corrinoid adenosyltransferase	2	171
PROKKA_03328	COG0112	Glycine/serine hydroxymethyltransferase	11	414
PROKKA_03329	COG0212	5-formyltetrahydrofolate cyclo-ligase	3	192
PROKKA_03330	COG3404	Formiminotetrahydrofolate cyclodeaminase	1	172
PROKKA_03331	COG0190	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	3	255
PROKKA_03332	COG0472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	53	302
PROKKA_03334	COG0534	Na+-driven multidrug efflux pump	1	315
PROKKA_03334	COG0534	Na+-driven multidrug efflux pump	107	263
PROKKA_03335	COG3601	Riboflavin transporter FmnP	6	196
PROKKA_03336	COG0668	Small-conductance mechanosensitive channel	146	361
PROKKA_03337	COG0738	Fucose permease	9	257
PROKKA_03339	COG1680	CubicO group peptidase, beta-lactamase class C family	177	556
PROKKA_03341	COG1236	RNA processing exonuclease, beta-lactamase fold, Cft2 family	1	454
PROKKA_03342	COG1217	Predicted membrane GTPase involved in stress response	3	605
PROKKA_03344	COG2274	ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain	2	748
PROKKA_03346	COG1566	Multidrug resistance efflux pump	17	286
PROKKA_03349	COG0449	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	3	56
PROKKA_03350	COG0449	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	1	524
PROKKA_03353	COG0116	23S rRNA G2445 N2-methylase RlmL	4	371
PROKKA_03354	COG1098	Predicted RNA-binding protein, contains ribosomal protein S1 (RPS1) domain	2	145
PROKKA_03357	COG1188	Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain	1	81
PROKKA_03358	COG0776	Bacterial nucleoid DNA-binding protein	1	89
PROKKA_03359	COG3956	Uncharacterized conserved protein YabN, contains tetrapyrrole methylase and MazG-like pyrophosphatase domain	15	223
PROKKA_03361	COG0572	Uridine kinase	52	258
PROKKA_03362	COG0635	Coproporphyrinogen III oxidase or related Fe-S oxidoreductase	138	467
PROKKA_03363	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	4	200
PROKKA_03364	COG1490	D-Tyr-tRNAtyr deacylase	1	116
PROKKA_03365	COG0317	(p)ppGpp synthase/hydrolase, HD superfamily	79	779
PROKKA_03366	COG0608	Single-stranded DNA-specific exonuclease, DHH superfamily, may be involved in archaeal DNA replication intiation	87	553
PROKKA_03369	COG2509	Uncharacterized FAD-dependent dehydrogenase	6	527
PROKKA_03370	COG4856	Uncharacterized protein, YbbR domain	52	335
PROKKA_03371	COG1624	Diadenylate cyclase (c-di-AMP synthetase), DisA_N domain	34	253
PROKKA_03372	COG0245	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	232	386
PROKKA_03373	COG1109	Phosphomannomutase	1	416
PROKKA_03374	COG1109	Phosphomannomutase	35	106
PROKKA_03376	COG0606	Predicted ATPase with chaperone activity	15	510
PROKKA_03377	COG1228	Imidazolonepropionase or related amidohydrolase	1	413
PROKKA_03378	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	1	154
PROKKA_03380	COG2211	Na+/melibiose symporter or related transporter	7	451
PROKKA_03381	COG3250	Beta-galactosidase/beta-glucuronidase	34	911
PROKKA_03385	COG0395	ABC-type glycerol-3-phosphate transport system, permease component	1	275
PROKKA_03386	COG1175	ABC-type sugar transport system, permease component	1	289
PROKKA_03387	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component	7	195
PROKKA_03388	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	175	279
PROKKA_03390	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	4	228
PROKKA_03391	COG2205	K+-sensing histidine kinase KdpD	8	657
PROKKA_03392	COG0569	Trk K+ transport system, NAD-binding component	7	131
PROKKA_03393	COG0168	Trk-type K+ transport system, membrane component	3	437
PROKKA_03395	COG0583	DNA-binding transcriptional regulator, LysR family	4	285
PROKKA_03396	COG0655	Multimeric flavodoxin WrbA	2	108
PROKKA_03397	COG1979	Alcohol dehydrogenase YqhD, Fe-dependent ADH family	1	383
PROKKA_03398	COG0656	Aldo/keto reductase, related to diketogulonate reductase	1	270
PROKKA_03400	COG0716	Flavodoxin	63	173
PROKKA_03401	COG0655	Multimeric flavodoxin WrbA	1	187
PROKKA_03402	COG4099	Predicted peptidase	73	291
PROKKA_03403	COG0657	Acetyl esterase/lipase	106	324
PROKKA_03404	COG0657	Acetyl esterase/lipase	124	358
PROKKA_03405	COG0667	Predicted oxidoreductase (related to aryl-alcohol dehydrogenase)	1	317
PROKKA_03406	COG1476	DNA-binding transcriptional regulator, XRE-family HTH domain	14	68
PROKKA_03410	COG2337	mRNA-degrading endonuclease, toxin component of the MazEF toxin-antitoxin module	7	116
PROKKA_03412	COG4974	Site-specific recombinase XerD	77	349
PROKKA_03415	COG3108	Uncharacterized conserved protein YcbK, DUF882 family	39	137
PROKKA_03422	COG0641	Sulfatase maturation enzyme AslB, radical SAM superfamily	39	403
PROKKA_03427	COG4385	Bacteriophage P2-related tail formation protein	57	162
PROKKA_03429	COG3948	Phage-related baseplate assembly protein	56	303
PROKKA_03433	COG3500	Phage protein D	6	320
PROKKA_03437	COG3498	Phage tail tube protein FII	6	159
PROKKA_03438	COG3497	Phage tail sheath protein FI	37	210
PROKKA_03447	COG0740	ATP-dependent protease ClpP, protease subunit	9	197
PROKKA_03448	COG5511	Bacteriophage capsid protein	34	517
PROKKA_03450	COG5525	Phage terminase, large subunit GpA	8	534
PROKKA_03478	COG3584	3D (Asp-Asp-Asp) domain	81	173
PROKKA_03495	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	10	192
PROKKA_03496	COG0178	Excinuclease UvrABC ATPase subunit	8	41
PROKKA_03496	COG0178	Excinuclease UvrABC ATPase subunit	10	38
PROKKA_03497	COG0178	Excinuclease UvrABC ATPase subunit	14	853
PROKKA_03497	COG0178	Excinuclease UvrABC ATPase subunit	404	607
PROKKA_03498	COG0556	Excinuclease UvrABC helicase subunit UvrB	5	652
PROKKA_03499	COG2003	DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif	10	221
PROKKA_03500	COG0564	Pseudouridylate synthase, 23S rRNA- or tRNA-specific	1	314
PROKKA_03501	COG0642	Signal transduction histidine kinase	175	452
PROKKA_03502	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	8	233
PROKKA_03503	COG1131	ABC-type multidrug transport system, ATPase component	1	302
PROKKA_03505	COG4200	Uncharacterized protein	6	244
PROKKA_03506	COG0355	FoF1-type ATP synthase, epsilon subunit	1	133
PROKKA_03507	COG0055	FoF1-type ATP synthase, beta subunit	1	450
PROKKA_03508	COG0224	FoF1-type ATP synthase, gamma subunit	5	288
PROKKA_03509	COG0056	FoF1-type ATP synthase, alpha subunit	107	587
PROKKA_03510	COG0711	FoF1-type ATP synthase, membrane subunit b or b'	7	143
PROKKA_03512	COG0356	FoF1-type ATP synthase, membrane subunit a	27	223
PROKKA_03520	COG0084	Tat protein secretion system quality control protein TatD (DNase activity)	4	271
PROKKA_03522	COG0143	Methionyl-tRNA synthetase	1	514
PROKKA_03523	COG1109	Phosphomannomutase	1	139
PROKKA_03524	COG1109	Phosphomannomutase	3	306
